2026-03-18 21:29:06,304 INFO    MainThread:17784 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_setup.py:_flush():81] Configure stats pid to 17784
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /workspace/nanoGPT/wandb/run-20260318_212906-0p0johgm/logs/debug.log
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /workspace/nanoGPT/wandb/run-20260318_212906-0p0johgm/logs/debug-internal.log
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_init.py:init():844] calling init triggers
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-rocstories', 'eval_interval': 200, 'log_interval': 20, 'eval_iters': 40, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'rocstories', 'wandb_run_name': 'rocstories-gpt', 'dataset': 'rocstories', 'gradient_accumulation_steps': 8, 'batch_size': 32, 'block_size': 256, 'n_layer': 8, 'n_head': 8, 'n_embd': 512, 'dropout': 0.15, 'bias': False, 'learning_rate': 0.001, 'max_iters': 6000, 'weight_decay': 0.15, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1, 'decay_lr': True, 'warmup_iters': 500, 'lr_decay_iters': 4500, 'min_lr': 0.0005, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': False, '_wandb': {}}
2026-03-18 21:29:06,305 INFO    MainThread:17784 [wandb_init.py:init():892] starting backend
2026-03-18 21:29:06,636 INFO    MainThread:17784 [wandb_init.py:init():895] sending inform_init request
2026-03-18 21:29:06,639 INFO    MainThread:17784 [wandb_init.py:init():903] backend started and connected
2026-03-18 21:29:06,651 INFO    MainThread:17784 [wandb_init.py:init():973] updated telemetry
2026-03-18 21:29:06,655 INFO    MainThread:17784 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-18 21:29:07,608 INFO    MainThread:17784 [wandb_init.py:init():1042] starting run threads in backend
2026-03-18 21:29:07,671 INFO    MainThread:17784 [wandb_run.py:_console_start():2524] atexit reg
2026-03-18 21:29:07,671 INFO    MainThread:17784 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-18 21:29:07,671 INFO    MainThread:17784 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-18 21:29:07,671 INFO    MainThread:17784 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-18 21:29:07,674 INFO    MainThread:17784 [wandb_init.py:init():1082] run started, returning control to user process
